Using device: cuda
GPU: NVIDIA L4
Memory: 23.7 GB
Model parameters: 1,848,333
Resuming from /home/trainer/checkpoints/checkpoint_epoch_027000.pt
Resumed at epoch 27000, loss=0.021644, energy=2.702607

============================================================
Starting training: epochs 27001 to 50000
Collocation points: 16,000
Checkpoint interval: 1000
============================================================

Epoch  27100 | Loss: 0.017379 | Physics: 0.015470 | Curl: 0.019094 | Energy: 2.702411 | Time: 0.93s | Elapsed: 0.02h
Epoch  27200 | Loss: 0.017219 | Physics: 0.015299 | Curl: 0.019200 | Energy: 2.702201 | Time: 0.94s | Elapsed: 0.05h
Epoch  27300 | Loss: 0.022092 | Physics: 0.020156 | Curl: 0.019352 | Energy: 2.702136 | Time: 0.93s | Elapsed: 0.08h
Epoch  27400 | Loss: 0.022650 | Physics: 0.020734 | Curl: 0.019162 | Energy: 2.702048 | Time: 0.94s | Elapsed: 0.10h
Epoch  27500 | Loss: 0.020203 | Physics: 0.018338 | Curl: 0.018651 | Energy: 2.701861 | Time: 0.95s | Elapsed: 0.13h
Epoch  27600 | Loss: 0.021143 | Physics: 0.019300 | Curl: 0.018433 | Energy: 2.701674 | Time: 0.94s | Elapsed: 0.16h
Epoch  27700 | Loss: 0.018190 | Physics: 0.016364 | Curl: 0.018256 | Energy: 2.701489 | Time: 0.93s | Elapsed: 0.18h
Epoch  27800 | Loss: 0.019435 | Physics: 0.017606 | Curl: 0.018289 | Energy: 2.701303 | Time: 0.94s | Elapsed: 0.21h
Epoch  27900 | Loss: 0.016310 | Physics: 0.014493 | Curl: 0.018165 | Energy: 2.701125 | Time: 0.94s | Elapsed: 0.23h
Epoch  28000 | Loss: 0.018706 | Physics: 0.016886 | Curl: 0.018200 | Energy: 2.700949 | Time: 0.95s | Elapsed: 0.26h
  -> Saved checkpoint: /home/trainer/checkpoints/checkpoint_epoch_028000.pt
Epoch  28100 | Loss: 0.016036 | Physics: 0.014176 | Curl: 0.018599 | Energy: 2.700778 | Time: 0.93s | Elapsed: 0.29h
Epoch  28200 | Loss: 0.014841 | Physics: 0.012998 | Curl: 0.018429 | Energy: 2.700575 | Time: 0.93s | Elapsed: 0.31h
Epoch  28300 | Loss: 0.021760 | Physics: 0.019976 | Curl: 0.017848 | Energy: 2.700385 | Time: 0.93s | Elapsed: 0.34h
Epoch  28400 | Loss: 0.018903 | Physics: 0.017125 | Curl: 0.017781 | Energy: 2.700213 | Time: 0.94s | Elapsed: 0.36h
Epoch  28500 | Loss: 0.018441 | Physics: 0.016660 | Curl: 0.017803 | Energy: 2.700038 | Time: 0.94s | Elapsed: 0.39h
Epoch  28600 | Loss: 0.018650 | Physics: 0.016888 | Curl: 0.017621 | Energy: 2.699866 | Time: 0.94s | Elapsed: 0.42h
Epoch  28700 | Loss: 0.019645 | Physics: 0.017842 | Curl: 0.018032 | Energy: 2.699702 | Time: 0.94s | Elapsed: 0.44h
Epoch  28800 | Loss: 0.013927 | Physics: 0.012120 | Curl: 0.018074 | Energy: 2.699518 | Time: 0.94s | Elapsed: 0.47h
Epoch  28900 | Loss: 0.019793 | Physics: 0.017993 | Curl: 0.017997 | Energy: 2.699298 | Time: 0.94s | Elapsed: 0.49h
Epoch  29000 | Loss: 0.016663 | Physics: 0.014863 | Curl: 0.017995 | Energy: 2.699118 | Time: 0.94s | Elapsed: 0.52h
  -> Saved checkpoint: /home/trainer/checkpoints/checkpoint_epoch_029000.pt
Epoch  29100 | Loss: 0.018800 | Physics: 0.017021 | Curl: 0.017786 | Energy: 2.698902 | Time: 0.94s | Elapsed: 0.55h
Epoch  29200 | Loss: 0.032414 | Physics: 0.030624 | Curl: 0.017904 | Energy: 2.698744 | Time: 0.93s | Elapsed: 0.57h
Epoch  29300 | Loss: 0.027765 | Physics: 0.025993 | Curl: 0.017724 | Energy: 2.698585 | Time: 0.94s | Elapsed: 0.60h
Epoch  29400 | Loss: 0.025436 | Physics: 0.023689 | Curl: 0.017466 | Energy: 2.698414 | Time: 0.94s | Elapsed: 0.62h
Epoch  29500 | Loss: 0.025385 | Physics: 0.023642 | Curl: 0.017432 | Energy: 2.698248 | Time: 0.94s | Elapsed: 0.65h
Epoch  29600 | Loss: 0.023426 | Physics: 0.021677 | Curl: 0.017495 | Energy: 2.698082 | Time: 0.94s | Elapsed: 0.68h
Epoch  29700 | Loss: 0.022993 | Physics: 0.021270 | Curl: 0.017223 | Energy: 2.697915 | Time: 0.94s | Elapsed: 0.70h
Epoch  29800 | Loss: 0.024222 | Physics: 0.022509 | Curl: 0.017125 | Energy: 2.697750 | Time: 0.93s | Elapsed: 0.73h
Epoch  29900 | Loss: 0.020295 | Physics: 0.018579 | Curl: 0.017154 | Energy: 2.697582 | Time: 0.95s | Elapsed: 0.76h
Epoch  30000 | Loss: 0.019402 | Physics: 0.017634 | Curl: 0.017685 | Energy: 2.697411 | Time: 0.93s | Elapsed: 0.78h
  -> Saved checkpoint: /home/trainer/checkpoints/checkpoint_epoch_030000.pt
Epoch  30100 | Loss: 0.015262 | Physics: 0.013513 | Curl: 0.017489 | Energy: 2.697224 | Time: 0.95s | Elapsed: 0.81h
Epoch  30200 | Loss: 0.019235 | Physics: 0.017537 | Curl: 0.016984 | Energy: 2.697019 | Time: 0.94s | Elapsed: 0.83h
Epoch  30300 | Loss: 0.019733 | Physics: 0.018083 | Curl: 0.016499 | Energy: 2.696859 | Time: 0.94s | Elapsed: 0.86h
Epoch  30400 | Loss: 0.015948 | Physics: 0.014316 | Curl: 0.016323 | Energy: 2.696705 | Time: 0.94s | Elapsed: 0.89h
Epoch  30500 | Loss: 0.015335 | Physics: 0.013690 | Curl: 0.016458 | Energy: 2.696549 | Time: 0.93s | Elapsed: 0.91h
Epoch  30600 | Loss: 0.016922 | Physics: 0.015266 | Curl: 0.016561 | Energy: 2.696393 | Time: 0.94s | Elapsed: 0.94h
Epoch  30700 | Loss: 0.014648 | Physics: 0.012985 | Curl: 0.016633 | Energy: 2.696233 | Time: 0.94s | Elapsed: 0.96h
Epoch  30800 | Loss: 0.014742 | Physics: 0.013075 | Curl: 0.016671 | Energy: 2.696049 | Time: 0.93s | Elapsed: 0.99h
Epoch  30900 | Loss: 0.019254 | Physics: 0.017599 | Curl: 0.016544 | Energy: 2.695918 | Time: 0.94s | Elapsed: 1.02h
Epoch  31000 | Loss: 0.020068 | Physics: 0.018410 | Curl: 0.016582 | Energy: 2.695768 | Time: 0.93s | Elapsed: 1.04h
  -> Saved checkpoint: /home/trainer/checkpoints/checkpoint_epoch_031000.pt
Epoch  31100 | Loss: 0.017038 | Physics: 0.015391 | Curl: 0.016473 | Energy: 2.695613 | Time: 0.94s | Elapsed: 1.07h
Epoch  31200 | Loss: 0.016999 | Physics: 0.015322 | Curl: 0.016769 | Energy: 2.695447 | Time: 0.94s | Elapsed: 1.09h
Epoch  31300 | Loss: 0.011922 | Physics: 0.010229 | Curl: 0.016931 | Energy: 2.695266 | Time: 0.94s | Elapsed: 1.12h
Epoch  31400 | Loss: 0.021588 | Physics: 0.019958 | Curl: 0.016308 | Energy: 2.695130 | Time: 0.93s | Elapsed: 1.15h
Epoch  31500 | Loss: 0.022458 | Physics: 0.020849 | Curl: 0.016083 | Energy: 2.694979 | Time: 0.93s | Elapsed: 1.17h
Epoch  31600 | Loss: 0.015476 | Physics: 0.013871 | Curl: 0.016052 | Energy: 2.694821 | Time: 0.94s | Elapsed: 1.20h
Epoch  31700 | Loss: 0.016645 | Physics: 0.015052 | Curl: 0.015933 | Energy: 2.694667 | Time: 0.94s | Elapsed: 1.22h
Epoch  31800 | Loss: 0.017536 | Physics: 0.015898 | Curl: 0.016384 | Energy: 2.694496 | Time: 0.95s | Elapsed: 1.25h
Epoch  31900 | Loss: 0.011921 | Physics: 0.010286 | Curl: 0.016347 | Energy: 2.694314 | Time: 0.95s | Elapsed: 1.28h
